"","x"
"1822",110149
"1823",4102
"1824",26200
"1825",1414
"1826",73998
"1827",2218
"1828",77583
"1829",32334
"1830",9177
"1831",8756
"1832",87137
"1833",80700
"1834",587
"1835",120840
"1836",8645
"1837",6820
"1838",24183
"1839",190
"1840",6478
"1841",72683
"1842",40245
"1843",950
"1844",62
"1845",4012
"1846",14564
"1847",16171
"1848",309
"1849",14227
"1850",47
"1851",1805
"1852",53409
"1853",6938
"1854",21161
"1855",6320
"1856",1514
"1857",20064
"1858",56250
"1859",99000
"1860",12830
"1861",1315
"1862",50160
"1863",52070
"1864",9023
"1865",12885
"1866",8484
"1867",49160
"1868",1388
"1869",5187
"1870",10578
"1871",18239
"1872",9337
"1873",22104
"1874",106712
"1875",1577
"1876",118
"1877",450
"1878",2335
"1879",1529
"1880",6060
"1881",492
"1882",1588
"1883",1720
"1884",18216
"1885",35
"1886",3685
"1887",8704
"1888",1945
"1889",2915
"1890",2991
"1891",3233
"1892",7689
"1893",18030
"1894",685
"1895",548
"1896",685
"1897",205
"1898",1370
"1899",51928
"1900",5254
"1901",1247
"1902",3477
"1903",24100
"1904",30070
"1905",40525
"1906",4845
"1907",23106
"1908",1203
"1909",29868
"1910",20944
"1911",15734
"1912",2893
"1913",49980
"1914",25515
"1915",144
"1916",8279
"1917",380
"1918",10713
"1919",10416
"1920",20199
"1921",6338
"1922",3914
"1923",18578
"1924",191
"1925",40
"1926",24439
"1927",25500
"1928",14347
"1929",21280
"1930",456
"1931",1741
"1932",217
"1933",4062
"1934",15143
"1935",6165
"1936",96400
"1937",1
"1938",1
"1939",2
"1940",336
"1941",13
"1942",13
"1943",11204
"1944",3
"1945",0
"1946",64807
"1947",12
"1948",42320
"1949",19632
"1950",1516
"1951",3448
"1952",26112
"1953",10393
"1954",4209
"1955",75500
"1956",13951
"1957",21258
"1958",37380
"1959",197606
"1960",56250
"1961",81
"1962",9659
"1963",2
"1964",155
"1965",8
"1966",526
"1967",290
"1968",1099
"1969",3330
"1970",2100
"1971",209
"1972",21963
"1973",7298
"1974",2768
"1975",48712
"1976",9
"1977",129599
"1978",195581
"1979",154
"1980",147
"1981",16127
"1982",58
"1983",21675
"1984",835
"1985",626
"1986",2710
"1987",1712
"1988",1057
"1989",303
"1990",3814
"1991",182291
"1992",763
"1993",50300
"1994",15759
"1995",2442
"1996",20064
"1997",40657
"1998",2503
"1999",124
"2000",4246
"2001",2
"2002",141
"2003",11
"2004",21
"2005",1
"2006",62
"2007",52
"2008",11
"2009",2
"2010",220
"2011",498
"2012",3
"2013",2
"2014",2
"2015",217
"2016",39956
"2017",5965
"2018",170
"2019",1353
"2020",804
"2021",273
"2022",115
"2023",2843
"2024",24025
"2025",31
"2026",22836
"2027",4105
"2028",5825
"2029",12082
"2030",52
"2031",2746
"2032",5545
"2033",15896
"2034",17062
"2035",60792
"2036",10226
"2037",12418
"2038",383
"2039",66498
"2040",533
"2041",400
"2042",10271
"2043",1823
"2044",113
"2045",104640
"2046",10
"2047",55500
"2048",107934
"2049",144
"2050",24574
"2051",44915
"2052",95846
"2053",848
"2054",9
"2055",20192
"2056",151303
"2057",7390
"2058",1750
"2059",1122
"2060",5624
"2061",357
"2062",111862
"2063",6150
"2064",31295
"2065",0
"2066",336
"2067",386616
"2068",47
"2069",2768
"2070",5424
"2071",1841
"2072",4765
"2073",52110
"2074",89
"2075",16368
"2076",102362
"2077",5325
"2078",73590
"2079",55220
"2080",132250
"2081",75878
"2082",3177
"2083",1908
"2084",3713
"2085",31671
"2086",19865
"2087",20063
"2088",2276
"2089",1491
"2090",67145
"2091",11683
"2092",24268
"2093",7824
"2094",546
"2095",6007
"2096",5176
"2097",5969
"2098",6430
"2099",10104
"2100",4288
"2101",14655
"2102",43733
"2103",9966
"2104",911
"2105",8896
"2106",15460
"2107",2907
"2108",90
"2109",8731
"2110",2546
"2111",400
"2112",53
"2113",3799
"2114",41
"2115",530
"2116",48922
"2117",1715
"2118",89
"2119",3990
"2120",973
"2121",175
"2122",12298
"2123",4020
"2124",2993
"2125",2163
"2126",822
"2127",200
"2128",1487
"2129",12569
"2130",70
"2131",179
"2132",2702
"2133",23166
"2134",7063
"2135",117
"2136",25811
"2137",1450
"2138",1401
"2139",2140
"2140",971
"2141",313
"2142",26188
"2143",1752
"2144",1076
"2145",7247
"2146",537
"2147",16403
"2148",1768
"2149",165579
"2150",2454
"2151",1495
"2152",295
"2153",9912
"2154",51059
"2155",427601
"2156",153
"2157",1075
"2158",7687
"2159",6506
"2160",47861
"2161",5608
"2162",400
"2163",7464
"2164",28800
"2165",34228
"2166",20450
"2167",38640
"2168",145215
"2169",1276
"2170",8625
"2171",52070
"2172",1436
"2173",1001
"2174",28060
"2175",8074
"2176",7863
"2177",1080
"2178",9802
"2179",69
"2180",47454
"2181",25470
"2182",6539
"2183",4697
"2184",615
"2185",6387
"2186",3
"2187",1378
"2188",144
"2189",1
"2190",26360
"2191",27
"2192",7037
"2193",215
"2194",2898
"2195",75
"2196",114913
"2197",1486
"2198",481
"2199",192
"2200",529
"2201",14117
"2202",121350
"2203",22483
"2204",1300
"2205",22245
"2206",8412
"2207",2
"2208",1888
